[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1576532979.6216886
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\middleware\cache.py first seen with mtime 1576533117.3486526
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\linecache.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\pytz\lazy.py first seen with mtime 1576533119.6204824
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1576533116.9668863
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1576533116.8079839
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\email\_parseaddr.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1576533116.8479598
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\forms\models.py first seen with mtime 1576533117.211736
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\utils\duration.py first seen with mtime 1576533117.5455306
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\db\models\query.py first seen with mtime 1576533117.1307857
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1576533117.0998054
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\DLLs\select.pyd first seen with mtime 1571096560.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\getpass.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1576533132.0072284
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\sqlparse\sql.py first seen with mtime 1576533131.963809
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\utils\encoding.py first seen with mtime 1576533117.5475302
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1576533117.062827
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1576533115.5947292
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\db\backends\postgresql\base.py first seen with mtime 1576533117.0328453
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1576532979.6296842
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\re.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\keyword.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1576532982.5407429
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\template\loader.py first seen with mtime 1576533117.3816323
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\email\policy.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1576533117.8443484
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\asyncio\trsock.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1576533117.391626
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1576533116.877942
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\email\header.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1576533116.7690082
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1576533116.824974
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1576533116.8649487
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\random.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\urls\utils.py first seen with mtime 1576533117.4745762
